rank,state,date
1,Delaware,December 07 1787
2,Pennsylvania,December 12 1787
3,New Jersey,December 18 1787
4,Georgia,January 02 1788
5,Connecticut,January 09 1788
6,Massachusetts,February 06 1788
7,Maryland,April 28 1788
8,South Carolina,May 23 1788
9,New Hampshire,June 21 1788
10,Virginia,June 25 1788
11,New York,July 26 1788
12,North Carolina,November 21 1789
13,Rhode Island,May 29 1790
14,Vermont,March 04 1791
15,Kentucky,June 01 1792
16,Tennessee,June 01 1796
17,Ohio,March 01 1803
18,Louisiana,April 30 1812
19,Indiana,December 11 1816
20,Mississippi,December 10 1817
21,Illinois,December 03 1818
22,Alabama,December 14 1819
23,Maine,March 15 1820
24,Missouri,August 10 1821
25,Arkansas,June 15 1836
26,Michigan,January 26 1837
27,Florida,March 03 1845
28,Texas,December 29 1845
29,Iowa,December 28 1846
30,Wisconsin,May 29 1848
31,California,September 09 1850
32,Minnesota,May 11 1858
33,Oregon,February 14 1859
34,Kansas,January 29 1861
35,West Virginia,June 20 1863
36,Nevada,October 31 1864
37,Nebraska,March 01 1867
38,Colorado,August 01 1876
39,North Dakota,November 02 1889
40,South Dakota,November 02 1889
41,Montana,November 08 1889
42,Washington,November 11 1889
43,Idaho,July 03 1890
44,Wyoming,July 10 1890
45,Utah,January 04 1896
46,Oklahoma,November 16 1907
47,New Mexico,January 06 1912
48,Arizona,February 14 1912
49,Alaska,January 03 1959
50,Hawaii,August 21 1959
